人民币: 余额:2049020.64  可用:490964.94  可取:0.00  参考市值:42022098.60  盈亏:2524946.18  资产:42943439.66 
-------------------------------------------------------------------------------------------------------

证券代码        证券名称        参考持股        可用股份        成本价          当前价         最新市值          浮动盈亏         盈亏比例(%)        冻结数量        股东代码          
600068          葛洲坝          300             300             -63.697         7.250          2175.00           21284.06         -111.38            0               B883205909        
600138          中青旅          0               0               0.000           11.220         0.00              -495.17          -100.00            0               B883205909        
600210          紫江企业        114500          23800           4.667           4.910          562195.00         27809.77         5.20               0               B883205909        
600248          延长化建        14600           14600           4.251           4.250          62050.00          -14.60           -0.02              0               B883205909        
600327          大东方          0               0               0.000           4.820          0.00              56784.17         -100.00            0               B883205909        
600478          科力远          13000           13000           4.591           4.630          60190.00          507.00           0.85               0               B883205909        
600499          科达洁能        3300            3300            4.521           4.650          15345.00          425.70           2.85               0               B883205909        
600606          绿地控股        0               0               0.000           9.060          0.00              102878.53        -100.00            0               B883205909        
600707          彩虹股份        214900          214900          4.852           4.820          1035818.00        -6876.80         -0.66              0               B883205909        
600812          华北制药        0               0               0.000           14.170         0.00              106055.66        -100.00            0               B883205909        
600827          百联股份        0               0               0.000           29.010         0.00              816002.21        -100.00            0               B883205909        
600861          北京城乡        37300           37300           14.292          16.520         616196.00         83104.40         15.59              0               B883205909        
600896          览海医疗        43800           43800           4.701           4.850          212430.00         6526.20          3.17               0               B883205909        
601777          力帆股份        63000           63000           4.805           4.540          286020.00         -16695.00        -5.52              0               B883205909        
601989          中国重工        35500           35500           5.814           4.810          170755.00         -35657.60        -17.27             0               B883205909        
603200          上海洗霸        1100            1100            42.713          47.480         52228.00          5243.70          11.16              0               B883205909        
603366          日出东方        45600           45600           5.923           5.970          272232.00         2143.20          0.79               0               B883205909        
603399          吉翔股份        72200           72200           8.243           8.260          596372.00         1227.40          0.21               0               B883205909        
603538          美诺华          0               0               0.000           53.420         0.00              21774.25         -100.00            0               B883205909        
603608          天创时尚        51200           51200           10.377          10.930         559616.00         28313.60         5.33               0               B883205909        
603660          苏州科达        61900           61900           10.048          10.350         640665.00         18693.80         3.01               0               B883205909        
603661          恒林股份        0               0               0.000           52.030         0.00              214.81           -100.00            0               B883205909        
603766          隆鑫通用        72300           72300           3.978           4.060          293538.00         5928.60          2.06               0               B883205909        
603811          诚意药业        10600           10600           29.152          28.450         301570.00         -7441.20         -2.41              0               B883205909        
000016          深康佳Ａ        54100           54100           7.758           8.420          455522.00         35814.20         8.53               0               0899223537        
000046          泛海控股        126000          126000          4.813           4.870          613620.00         7182.00          1.18               0               0899223537        
000417          合肥百货        200             200             -60.990         6.600          1320.00           13518.10         -110.82            0               0899223537        
000525          红 太 阳        77500           46800           8.271           9.000          697500.00         56530.23         8.82               0               0899223537        
000603          盛达资源        100             100             -482.905        13.920         1392.00           49682.54         -102.88            0               0899223537        
000639          西王食品        106100          13800           6.106           6.060          642966.00         -4908.69         -0.76              0               0899223537        
000652          泰达股份        163600          163600          7.064           7.640          1249904.00        94233.60         8.15               0               0899223537        
000700          模塑科技        300             300             -190.149        8.980          2694.00           59738.60         -104.72            0               0899223537        
000720          新能泰山        2300            2300            5.361           5.480          12604.00          273.70           2.22               0               0899223537        
000793          华闻集团        146500          80300           4.376           4.420          647530.00         6503.22          1.01               0               0899223537        
000815          美利云          8600            8600            7.351           7.680          66048.00          2829.40          4.48               0               0899223537        
000886          海南高速        30400           30400           5.886           5.960          181184.00         2249.60          1.26               0               0899223537        
000892          欢瑞世纪        78500           78500           4.412           4.740          372090.00         25748.00         7.43               0               0899223537        
000910          大亚圣象        0               0               0.000           17.320         0.00              8460.27          -100.00            0               0899223537        
002074          国轩高科        38100           38100           30.208          30.790         1173099.00        22174.20         1.93               0               0899223537        
002103          广博股份        112400          62400           7.106           7.170          805908.00         7152.57          0.90               0               0899223537        
002169          智光电气        102800          102800          11.086          11.050         1135940.00        -3700.80         -0.32              0               0899223537        
002228          合兴包装        50400           50400           4.529           4.400          221760.00         -6501.60         -2.85              0               0899223537        
