标题：资金股票
营业部名称：五矿联通站点一
股东：鸣石量化十
资金余额：7595983.65 	 可取金额：6654248.46
冻结金额：941735.19 	 股票市值：100590917.46
可用余额：6654248.46 	 总 资 产：107245166.92

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	盈亏	成本价	盈亏比例()	市价	市值	交易市场	股东帐户	实际数量	
603916	苏博特	24400	24400	0	-14733.160	26.584	-2.272	25.980	633912.000	上海Ａ股	B881612100	24400	
603866	桃李面包	45700	45700	0	34277.850	50.320	1.490	51.070	2333899.000	上海Ａ股	B881612100	45700	
603856	东宏股份	28900	28900	0	-2876.240	14.860	-0.673	14.760	426564.000	上海Ａ股	B881612100	28900	
603707	健友股份	46400	46400	0	165637.200	60.680	5.883	64.250	2981200.000	上海Ａ股	B881612100	46400	
603699	纽威股份	19100	19100	0	-7553.070	15.955	-2.476	15.560	297196.000	上海Ａ股	B881612100	19100	
603666	亿嘉和	5780	5780	0	102194.190	72.309	24.452	89.990	520142.200	上海Ａ股	B881612100	5780	
603658	安图生物	3200	3200	0	-33635.410	164.331	-6.396	153.820	492224.000	上海Ａ股	B881612100	3200	
603609	禾丰牧业	137100	137100	0	102298.750	14.424	5.172	15.170	2079807.000	上海Ａ股	B881612100	137100	
603605	珀莱雅	3400	3400	0	86625.810	155.872	16.345	181.350	616590.000	上海Ａ股	B881612100	3400	
603583	捷昌驱动	12600	12600	0	75380.980	65.837	9.088	71.820	904932.000	上海Ａ股	B881612100	12600	
603566	普莱柯	18100	18100	0	15250.870	26.187	3.219	27.030	489243.000	上海Ａ股	B881612100	18100	
603538	美诺华	10200	10200	0	-13573.630	51.081	-2.606	49.750	507450.000	上海Ａ股	B881612100	10200	
603516	淳中科技	11900	11900	0	7214.430	37.144	1.631	37.750	449225.000	上海Ａ股	B881612100	11900	
603444	吉比特	3000	3000	0	439803.170	402.399	36.432	549.000	1647000.000	上海Ａ股	B881612100	3000	
603429	集友股份	26500	26500	0	71081.710	30.168	8.890	32.850	870525.000	上海Ａ股	B881612100	26500	
603369	今世缘	20300	1900	18400	148411.180	35.609	20.531	42.920	871276.000	上海Ａ股	B881612100	20300	
603303	得邦照明	35600	35600	0	-689.860	10.829	-0.175	10.810	384836.000	上海Ａ股	B881612100	35600	
603187	海容冷链	15300	15300	0	-13805.310	36.842	-2.448	35.940	549882.000	上海Ａ股	B881612100	15300	
