标题：信用资产
营业部名称：华泰证券(27)
股东：素养鸣石量化18号

------------------------------
担保资产:113863394.42 	 融资合约金额:0.00 	 现金资产:5606283.91
融资限额:100000000.00 	 合约负债总额:29015467.46 	 融券合约金额:27117532.10
可取金额:4106298.91 	 融券限额:100000000.00 	 净资产:84847926.96
融资合约利息:0.00 	 可用还款金额:4106298.91 	 融资额度:72882467.90
维持担保比例:3.9242 	 融券合约利息:0.00 	 可买券还券资金:5606283.91
融券额度:72882467.90 	 科创板集中度:0.000000 	 可用保证金:43627761.09
合约费用:0.00 	 可买担保品资金:4106298.91 	 融资合约盈亏:0.00
可转出资产:26816992.04 	 其他费用:0.00 	 信用买标的资金:4106298.91
融券合约盈亏:-1242585.40 	 待还款总额:0.00 	 币种名称:人民币

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比例()	盈亏(约)	市值(约)	交易市场	股东帐户	在途数量	货币单位	
300300	汉鼎宇佑	900	900	0	5.891	5.903	6.130	3.86	204.473	5517.000	深圳Ａ	0680028125	0	人民币	
300302	同有科技	300	300	0	11.042	11.070	11.500	3.89	128.881	3450.000	深圳Ａ	0680028125	0	人民币	
300303	聚飞光电	4200	4200	0	5.851	5.858	5.640	-3.73	-915.362	23688.000	深圳Ａ	0680028125	0	人民币	
300307	慈星股份	200	200	0	4.265	4.294	4.280	-0.34	-2.873	856.000	深圳Ａ	0680028125	0	人民币	
300308	中际旭创	400	400	0	108.805	108.934	59.340	-45.53	-19815.211	23736.000	深圳Ａ	0680028125	0	人民币	
300310	宜通世纪	1400	1400	0	5.825	5.835	5.820	-0.25	-20.311	8148.000	深圳Ａ	0680028125	0	人民币	
300311	任子行	800	800	0	7.316	7.330	7.280	-0.68	-39.740	5824.000	深圳Ａ	0680028125	0	人民币	
300315	掌趣科技	6900	6900	0	6.632	6.640	6.520	-1.80	-825.886	44988.000	深圳Ａ	0680028125	0	人民币	
300316	晶盛机电	883	883	0	27.189	27.222	22.500	-17.35	-4165.652	19867.500	深圳Ａ	0680028125	0	人民币	
300318	博晖创新	400	400	0	5.063	5.081	5.170	1.76	35.691	2068.000	深圳Ａ	0680028125	0	人民币	
300319	麦捷科技	1300	1300	0	16.552	16.573	10.410	-37.20	-8003.404	13533.000	深圳Ａ	0680028125	0	人民币	
300322	硕贝德	300	300	0	15.990	16.023	16.190	1.04	50.046	4857.000	深圳Ａ	0680028125	0	人民币	
300323	华灿光电	4800	4800	0	5.509	5.516	5.630	2.07	548.236	27024.000	深圳Ａ	0680028125	0	人民币	
300326	凯利泰	1400	1400	0	26.909	26.941	26.310	-2.34	-882.064	36834.000	深圳Ａ	0680028125	0	人民币	
300327	中颖电子	1096	1096	0	31.367	31.404	32.020	1.96	674.277	35093.920	深圳Ａ	0680028125	0	人民币	
300328	宜安科技	2250	2250	0	9.893	9.905	10.530	6.31	1404.084	23692.500	深圳Ａ	0680028125	0	人民币	
300331	苏大维格	1800	1800	0	26.405	26.436	29.800	12.72	6047.705	53640.000	深圳Ａ	0680028125	0	人民币	
300332	天壕环境	500	500	0	4.191	4.205	4.380	4.16	87.266	2190.000	深圳Ａ	0680028125	0	人民币	
300336	新文化	5300	5300	0	5.214	5.220	5.360	2.68	739.824	28408.000	深圳Ａ	0680028125	0	人民币	
300339	润和软件	1700	1700	0	9.662	9.675	9.710	0.36	59.763	16507.000	深圳Ａ	0680028125	0	人民币	
300341	麦克奥迪	400	400	0	8.091	8.112	8.180	0.84	27.263	3272.000	深圳Ａ	0680028125	0	人民币	
300347	泰格医药	200	200	0	82.600	82.709	82.100	-0.74	-121.748	16420.000	深圳Ａ	0680028125	0	人民币	
300348	长亮科技	1250	1250	0	17.708	17.730	16.630	-6.21	-1373.703	20787.500	深圳Ａ	0680028125	0	人民币	
300352	北信源	2200	2200	0	7.008	7.017	7.210	2.75	423.221	15862.000	深圳Ａ	0680028125	0	人民币	
300357	我武生物	900	900	0	55.087	55.152	55.800	1.18	582.440	50220.000	深圳Ａ	0680028125	0	人民币	
300359	全通教育	400	400	0	5.238	5.256	5.460	3.89	81.572	2184.000	深圳Ａ	0680028125	0	人民币	
300360	炬华科技	100	100	0	8.522	8.581	8.540	-0.48	-4.071	854.000	深圳Ａ	0680028125	0	人民币	
300363	博腾股份	3450	3450	0	-107.380	0.000	24.980	0.00	456540.306	86181.000	深圳Ａ	0680028125	0	人民币	
300364	中文在线	1800	1800	0	4.822	4.830	4.590	-4.97	-431.027	8262.000	深圳Ａ	0680028125	0	人民币	
300365	恒华科技	300	300	0	10.312	10.339	10.440	0.98	30.205	3132.000	深圳Ａ	0680028125	0	人民币	
300366	创意信息	400	400	0	9.622	9.644	9.560	-0.88	-33.700	3824.000	深圳Ａ	0680028125	0	人民币	
300373	扬杰科技	700	700	0	23.366	23.397	28.010	19.72	3225.801	19607.000	深圳Ａ	0680028125	0	人民币	
300376	易事特	100	100	0	4.861	4.916	4.910	-0.12	-0.601	491.000	深圳Ａ	0680028125	0	人民币	
300377	赢时胜	800	800	0	8.892	8.907	8.750	-1.77	-125.740	7000.000	深圳Ａ	0680028125	0	人民币	
300378	鼎捷软件	100	100	0	13.122	13.185	12.950	-1.79	-23.521	1295.000	深圳Ａ	0680028125	0	人民币	
300381	溢多利	100	100	0	11.492	11.554	11.580	0.23	2.619	1158.000	深圳Ａ	0680028125	0	人民币	
300383	光环新网	2600	2600	0	26.934	26.966	25.510	-5.40	-3780.665	66326.000	深圳Ａ	0680028125	0	人民币	
300386	飞天诚信	600	600	0	16.676	16.701	16.900	1.19	119.057	10140.000	深圳Ａ	0680028125	0	人民币	
300390	天华超净	2200	2200	0	11.473	11.487	11.280	-1.80	-454.912	24816.000	深圳Ａ	0680028125	0	人民币	
300393	中来股份	300	300	0	14.862	14.894	14.140	-5.07	-225.927	4242.000	深圳Ａ	0680028125	0	人民币	
300394	天孚通信	100	100	0	55.499	55.606	46.470	-16.44	-912.640	4647.000	深圳Ａ	0680028125	0	人民币	
300395	菲利华	200	200	0	24.041	24.091	25.450	5.65	271.608	5090.000	深圳Ａ	0680028125	0	人民币	
300396	迪瑞医疗	400	400	0	23.477	23.513	23.780	1.13	106.498	9512.000	深圳Ａ	0680028125	0	人民币	
300397	天和防务	700	700	0	69.713	69.795	38.230	-45.23	-22070.396	26761.000	深圳Ａ	0680028125	0	人民币	
300400	劲拓股份	200	200	0	12.307	12.345	13.790	11.73	288.787	2758.000	深圳Ａ	0680028125	0	人民币	
300406	九强生物	200	200	0	19.370	19.415	20.100	3.53	136.900	4020.000	深圳Ａ	0680028125	0	人民币	
300408	三环集团	1000	1000	0	21.444	21.471	21.130	-1.59	-340.553	21130.000	深圳Ａ	0680028125	0	人民币	
300409	道氏技术	300	300	0	11.135	11.163	11.700	4.82	160.920	3510.000	深圳Ａ	0680028125	0	人民币	
300411	金盾股份	200	200	0	9.502	9.537	9.510	-0.28	-5.340	1902.000	深圳Ａ	0680028125	0	人民币	
300413	芒果超媒	800	800	0	48.100	48.157	53.500	11.10	4269.496	42800.000	深圳Ａ	0680028125	0	人民币	
300414	中光防雷	100	100	0	11.662	11.724	11.580	-1.23	-14.381	1158.000	深圳Ａ	0680028125	0	人民币	
300415	伊之密	500	500	0	7.805	7.823	7.750	-0.93	-36.452	3875.000	深圳Ａ	0680028125	0	人民币	
300416	苏试试验	300	300	0	22.452	22.492	22.470	-0.10	-6.476	6741.000	深圳Ａ	0680028125	0	人民币	
300418	昆仑万维	5200	5200	0	21.608	21.634	22.430	3.68	4136.770	116636.000	深圳Ａ	0680028125	0	人民币	
300420	五洋停车	1000	1000	0	6.237	6.248	6.150	-1.58	-98.273	6150.000	深圳Ａ	0680028125	0	人民币	
300423	鲁亿通	1400	1400	0	13.807	13.825	14.250	3.08	594.851	19950.000	深圳Ａ	0680028125	0	人民币	
300433	蓝思科技	6298	6298	0	16.408	16.427	19.360	17.85	18447.819	121929.280	深圳Ａ	0680028125	0	人民币	
300435	中泰股份	400	400	0	9.650	9.672	9.610	-0.65	-24.921	3844.000	深圳Ａ	0680028125	0	人民币	
300438	鹏辉能源	450	450	0	12.747	12.771	14.710	15.20	871.598	6619.500	深圳Ａ	0680028125	0	人民币	
300439	美康生物	600	600	0	15.190	15.214	15.080	-0.88	-80.229	9048.000	深圳Ａ	0680028125	0	人民币	
300448	浩云科技	1400	1400	0	9.532	9.545	9.820	2.88	384.177	13748.000	深圳Ａ	0680028125	0	人民币	
300451	创业慧康	1600	1600	0	14.827	14.845	14.930	0.57	135.434	23888.000	深圳Ａ	0680028125	0	人民币	
300454	深信服	2000	2000	0	187.688	187.910	183.400	-2.40	-9008.824	366800.000	深圳Ａ	0680028125	0	人民币	
300455	康拓红外	400	400	0	14.938	14.966	14.620	-2.31	-138.165	5848.000	深圳Ａ	0680028125	0	人民币	
300456	赛微电子	800	800	0	25.375	25.407	26.440	4.07	825.425	21152.000	深圳Ａ	0680028125	0	人民币	
300457	赢合科技	2200	2200	0	29.696	29.731	30.960	4.13	2700.428	68112.000	深圳Ａ	0680028125	0	人民币	
