账户,证券代码,证券名称,买卖,成交量,成交均价,成交金额
"7900000219","000333.SZ","美的集团","买入","6400","71.539584453125","457853.3405"
"7900000219","603233.SH","大参林","买入","1000","73.84","73840"
"7900000219","002084.SZ","海鸥住工","买入","2800","10.7321428571429","30050"
"7900000219","603896.SH","寿仙谷","买入","700","40.3528571428571","28247"
"7900000219","600483.SH","福能股份","买入","1300","9.58153846153846","12456"
"7900000219","603165.SH","荣晟环保","买入","600","14.31","8586"
"7900000219","603316.SH","诚邦股份","买入","400","8.9275","3571"
"7900000219","000976.SZ","华铁股份","买入","6500","7.70876923076923","50107"
"7900000219","603089.SH","正裕工业","买入","100","12.04","1204"
"7900000219","002892.SZ","科力尔","买入","100","23.97","2397"
"7900000219","002729.SZ","好利来","买入","100","41.74","4174"
"7900000219","603396.SH","金辰股份","买入","300","30.19","9057"
"7900000219","300382.SZ","斯莱克","买入","3700","10.8051351081081","39978.9999"
"7900000219","002465.SZ","海格通信","买入","15900","15.3648427672956","244301"
"7900000219","601881.SH","中国银河","卖出","18400","13.6288044076087","250770.0011"
"7900000219","002545.SZ","东方铁塔","买入","1200","8.91","10692"
"7900000219","300727.SZ","润禾材料","买入","200","16.52","3304"
"7900000219","300659.SZ","中孚信息","买入","800","60.1275","48102"
"7900000219","300454.SZ","深信服","买入","500","210.558","105279"
"7900000219","002410.SZ","广联达","买入","2100","75.6895239047619","158948.0002"
"7900000219","300315.SZ","掌趣科技","买入","11100","9.30945945945946","103335"
"7900000219","603628.SH","清源股份","买入","600","9.75","5850"
"7900000219","600855.SH","航天长峰","买入","5000","18.536","92680"
"7900000219","300113.SZ","顺网科技","买入","1500","23.908","35862"
"7900000219","600720.SH","祁连山","买入","5900","20.517118661017","121051.0001"
"7900000219","603811.SH","诚意药业","买入","200","27.565","5513"
"7900000219","600168.SH","武汉控股","买入","400","8.01","3204"
"7900000219","002787.SZ","华源控股","买入","1400","8.12285692857143","11371.9997"
"7900000219","603768.SH","常青股份","买入","400","16.4875","6595"
"7900000219","300136.SZ","信维通信","买入","5800","59.6770692758621","346127.0018"
"7900000219","300299.SZ","富春股份","卖出","154500","11.7231973404531","1811233.9891"
"7900000219","600807.SH","济南高新","买入","500","4.89","2445"
"7900000219","300583.SZ","赛托生物","买入","100","30.4","3040"
"7900000219","600163.SH","中闽能源","买入","5200","4.16","21632"
