账户,备注,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比率,参考盈亏,SymbolFull
7900000219,ct12,603278,大业股份,500,600,500,0,100,0,8.41,8.54,-0.81%,5124.00,1.49%,75.28,603278.SH
7900000219,ct12,603283,赛腾股份,200,200,200,0,0,0,45.45,53.86,10.01%,10772.00,18.50%,1681.80,603283.SH
7900000219,ct12,603289,泰瑞机器,2100,2100,2100,0,0,0,10.10,10.15,-0.78%,21315.00,0.54%,115.50,603289.SH
7900000219,ct12,603297,永新光学,1800,1800,1800,0,0,0,46.35,43.20,-0.41%,77760.00,-6.80%,-5677.20,603297.SH
7900000219,ct12,603298,杭叉集团,1000,1000,1000,0,0,0,12.05,12.62,-0.47%,12620.00,4.77%,575.00,603298.SH
7900000219,ct12,603300,华铁应急,3400,3400,3400,0,0,0,6.70,6.68,0.30%,22712.00,-0.25%,-57.80,603300.SH
7900000219,ct12,603303,得邦照明,100,100,100,0,0,0,10.40,10.91,2.06%,1091.00,4.89%,50.90,603303.SH
7900000219,ct12,603305,旭升股份,1400,1400,1400,0,0,0,44.45,44.67,1.73%,62538.00,0.49%,303.80,603305.SH
7900000219,ct12,603306,华懋科技,500,600,0,0,600,500,19.47,16.41,0.98%,9846.00,-15.73%,-1838.30,603306.SH
7900000219,ct12,603308,应流股份,3300,3300,3300,0,0,0,23.50,25.87,1.02%,85371.00,10.08%,7817.70,603308.SH
7900000219,ct12,603309,维力医疗,1800,3000,0,0,3000,1800,15.39,16.02,6.59%,48060.00,4.09%,1890.44,603309.SH
7900000219,ct12,603311,金海环境,400,600,400,0,200,0,13.47,13.75,-0.36%,8250.00,2.08%,167.92,603311.SH
7900000219,ct12,603313,梦百合,600,600,600,0,0,0,23.70,24.26,2.45%,14556.00,2.35%,334.20,603313.SH
7900000219,ct12,603315,福鞍股份,100,100,100,0,0,0,11.70,12.07,1.09%,1207.00,3.14%,36.80,603315.SH
7900000219,ct12,603316,诚邦股份,500,500,500,0,0,0,8.90,8.86,0.45%,4430.00,-0.46%,-20.50,603316.SH
7900000219,ct12,603320,迪贝电气,100,100,100,0,0,0,13.41,13.49,0.45%,1349.00,0.58%,7.80,603320.SH
7900000219,ct12,603321,梅轮电梯,800,800,0,0,800,800,7.58,7.91,2.99%,6328.00,4.42%,267.64,603321.SH
7900000219,ct12,603322,超讯通信,400,400,400,0,0,0,19.28,19.81,0.81%,7924.00,2.78%,214.00,603322.SH
7900000219,ct12,603326,我乐家居,1000,1300,1000,0,300,0,16.57,16.57,0.36%,21541.00,0.01%,3.20,603326.SH
7900000219,ct12,603328,依顿电子,200,200,200,0,0,0,10.12,10.15,1.00%,2030.00,0.29%,5.80,603328.SH
7900000219,ct12,603329,上海雅仕,100,100,100,0,0,0,13.55,13.89,-0.07%,1389.00,2.49%,33.80,603329.SH
7900000219,ct12,603330,上海天洋,1000,1000,1000,0,0,0,33.61,34.80,0.87%,34800.00,3.53%,1187.00,603330.SH
7900000219,ct12,603331,百达精工,600,400,0,0,400,600,11.89,11.75,0.09%,4700.00,-1.16%,-54.94,603331.SH
7900000219,ct12,603333,尚纬股份,5200,5200,5200,0,0,0,7.21,7.36,1.38%,38272.00,2.05%,769.60,603333.SH
7900000219,ct12,603335,迪生力,2400,2400,2400,0,0,0,5.10,5.03,1.00%,12072.00,-1.31%,-160.80,603335.SH
7900000219,ct12,603337,杰克股份,300,0,0,0,0,300,--,20.07,-0.40%,0.00,--,0.00,603337.SH
7900000219,ct12,603338,浙江鼎力,1500,1500,1500,0,0,0,81.74,88.67,1.11%,133005.00,8.48%,10396.50,603338.SH
7900000219,ct12,603339,四方科技,400,400,0,0,400,400,10.03,12.42,7.35%,4968.00,23.80%,955.15,603339.SH
7900000219,ct12,603345,安井食品,500,500,500,0,0,0,142.35,144.88,0.37%,72440.00,1.78%,1264.00,603345.SH
7900000219,ct12,603348,文灿股份,100,100,100,0,0,0,18.91,19.25,-0.62%,1925.00,1.78%,33.70,603348.SH
7900000219,ct12,603355,莱克电气,100,200,100,0,100,0,26.76,26.75,0.07%,5350.00,-0.03%,-1.87,603355.SH
7900000219,ct12,603357,设计总院,100,100,100,0,0,0,11.36,10.63,1.63%,1063.00,-6.38%,-72.50,603357.SH
7900000219,ct12,603359,东珠生态,300,300,300,0,0,0,18.69,18.63,1.91%,5589.00,-0.32%,-17.70,603359.SH
7900000219,ct12,603360,百傲化学,100,100,100,0,0,0,24.28,21.44,0.42%,2144.00,-11.71%,-284.40,603360.SH
7900000219,ct12,603363,傲农生物,1300,2200,1300,0,900,0,23.17,23.66,1.02%,52052.00,2.10%,1070.86,603363.SH
7900000219,ct12,603365,水星家纺,500,500,500,0,0,0,16.47,15.62,-0.32%,7810.00,-5.15%,-424.00,603365.SH
7900000219,ct12,603366,日出东方,32200,32200,32200,0,0,0,5.76,5.70,1.79%,183539.99,-1.11%,-2060.81,603366.SH
7900000219,ct12,603367,辰欣药业,200,200,200,0,0,0,17.47,17.99,2.86%,3598.00,2.95%,103.20,603367.SH
7900000219,ct12,603369,今世缘,2800,2800,2800,0,0,0,44.54,43.47,-1.11%,121716.00,-2.41%,-3004.40,603369.SH
7900000219,ct12,603377,东方时尚,2500,2500,2500,0,0,0,21.15,22.05,2.04%,55125.00,4.28%,2262.50,603377.SH
7900000219,ct12,603378,亚士创能,1800,1800,1800,0,0,0,69.16,72.31,1.45%,130158.00,4.55%,5670.00,603378.SH
7900000219,ct12,603385,惠达卫浴,3900,3900,3900,0,0,0,16.16,15.22,-1.17%,59358.00,-5.82%,-3666.00,603385.SH
7900000219,ct12,603387,基蛋生物,800,1000,800,0,200,0,31.14,40.61,-0.05%,40610.00,30.41%,9470.77,603387.SH
7900000219,ct12,603388,元成股份,200,400,200,0,200,0,7.66,7.82,0.77%,3128.00,2.14%,65.48,603388.SH
7900000219,ct12,603393,新天然气,2900,2900,2900,0,0,0,46.04,45.83,-0.20%,132907.01,-0.45%,-594.49,603393.SH
7900000219,ct12,603396,金辰股份,700,700,700,0,0,0,29.00,29.65,-0.03%,20755.00,2.24%,455.00,603396.SH
7900000219,ct12,603398,邦宝益智,2400,2400,2400,0,0,0,10.15,10.46,2.45%,25104.00,3.08%,751.20,603398.SH
7900000219,ct12,603399,吉翔股份,16400,16400,16400,0,0,0,8.72,8.39,-0.71%,137596.01,-3.74%,-5346.39,603399.SH
7900000219,ct12,603416,信捷电气,1100,1100,1100,0,0,0,55.60,54.50,3.06%,59950.00,-1.98%,-1208.90,603416.SH
